gene_symbol
CCKAR
DVL1
SORL1
PAIP1
OPHN1
KCNT2
CTGF
SCN2A
SYNGR3
CDK5R2
CLCA1
RXFP1
FGF14
JRK
RORB
DPP6
AR
BTN2A1
CLCN7
CSTB
VLDLR
WNT2
TRHR
SRP9
STX10
TRPC6
RASGRF2
CHRNA6
SYNGAP1
KCNK2
GABRG3
KCNQ4
CLCN6
GLRA3
SCNN1G
CDK5R1
CACNA1F
PVALB
ATP10A
RELN
GLO1
HCN1
GABARAPL1
CSRP1
CLOCK
UBASH3B
KCNJ6
PRSS23
GDI1
SLC25A22
SYT11
PLAUR
FTSJ1
USP10
LRRC1
DSG1
CCKBR
KCNQ3
NDE1
KIAA1024
NEFH
GPR156
TSC1
PRSS12
GRIK5
GABBR1
PARK7
VAMP1
ADRA1D
ATP2A2
ADRA2A
NCAM1
ADRB2
LGI2
STARD8
HTRA2
KCNK9
GPR19
EDNRB
HTR1B
KLK6
IGSF21
GJA1
SCN5A
KCNC4
MARCKSL1
SLC23A3
CNGA1
STXBP6
CLCN5
PIK3CB
AGRN
CEMIP
NTS
MOG
FAM111B
KCNH2
CLCNKA
GABRB1
ATP2B4
SYT12
KCNV1
DLEC1
TEKT4P2
GRM2
NDEL1
KCNA10
GRM8
SNAP29
CTNNB1
TAC1
COL9A3
GNB4
SYT17
TNNT1
ATF4
HTR1D
SCN7A
ADRA1A
A2M
ZNF674
ALDH5A1
STX8
PLTP
NTRK3
GPR37
SEMA3C
KCNJ11
LGR5
KCNH3
SYNGR2
TNF
SYT10
SYTL1
FAM20A
SPTLC1
KCNJ10
KCNN2
CNTNAP2
NEFL
RND2
DLG2
ATP1A2
BRCA1
KCNK10
MAD1L1
STX18
CLCN3
FAM46A
DFNB31
GPR3
APLNR
ADGRV1
OPRL1
KCNA7
NTF4
GRID2
KRT9
ARNTL2
NETO2
STX19
KCNJ12
CERK
HAPLN1
COL6A1
RTN4R
DHX9
KCNC2
KIAA1279
CHRNG
CCK
GSK3B
NGF
TACR3
SNPH
IGBP1
CALY
NKX2-1
SSTR1
CTSB
HCN2
TAAR6
CRHR1
SNAP23
RAPGEF4
AGAP1
STX2
TMEM163
RGS10
ADRA2B
SYPL1
HTR5A
ACTB
ITPR2
TF
DYM
CNGA2
RSPO1
TTR
KCNIP2
CUX1
GPR22
ARHGEF9
FAM214A
REST
MAPK1
ATF5
CLCNKB
KCNQ1
PHGDH
KIT
SCN8A
CHRNA4
RGS4
GRIN2B
ADAMTS8
ACAN
ADM
ARC
RTN4
PRKCG
GABRA6
NPIPB3
NPY5R
MC1R
ADCY1
EXT1
TSPAN8
GMPR
HRH4
PTHLH
DTNBP1
PCNT
POMT1
CREB1
GPR173
SNAPIN
KCNJ15
SNCAIP
MC5R
SCNN1D
GRIN2A
HTR6
GABRG2
KCNA1
SLC17A7
KCNAB2
SYT13
NPY2R
DYNC1I2
VAMP3
OXT
COX8A
GRIA4
APBB2
APP
NAIP
CALB2
HTR3A
NTSR2
SLC1A3
CACNA1D
ARHGEF10
CACNG2
AVPR1A
CYR61
DDX11
KCNMB3
ADORA1
DLX5
MYBPC1
KCNH5
GABRG1
PIK3CG
MAPK10
RAB3IP
IGSF11
PCDH18
ID2
KCNV2
KCNH1
KCNS2
